NAME,TEAM,SALARY(M),GP,MPG,PPG,FG_PC,3P_PC,FT_PC,RPG,APG,STPG,BLKPG,POSITION
Kyle Korver,Atlanta Hawks,6.8,71,33.9,12,0.48,0.47,0.93,4,2.9,1,0.3,SG
Kyrie Irving,Cleveland Cavaliers,5.6,71,35.2,20.8,0.43,0.36,0.86,3.6,6.1,1.5,0.3,PG
Nick Calathes,Memphis Grizzlies,0.5,71,16.5,4.9,0.46,0.31,0.61,1.9,2.9,0.9,0.1,SG
Omri Casspi,Houston Rockets,0.9,71,18.1,6.9,0.42,0.35,0.68,3.7,1.2,0.6,0.2,SF
Dion Waiters,Cleveland Cavaliers,3.9,70,29.6,15.9,0.43,0.37,0.69,2.8,3,0.9,0.2,SG
Ish Smith,Phoenix Suns,1,70,14.4,3.7,0.42,0.04,0.56,1.8,2.6,0.7,0.2,PG
John Henson,Milwaukee Bucks,1.9,70,26.5,11.1,0.54,0,0.51,7.1,1.6,0.6,1.7,C
Kelly Olynyk,Boston Celtics,2,70,20,8.7,0.47,0.35,0.81,5.2,1.6,0.5,0.4,C
Mason Plumlee,Brooklyn Nets,1.3,70,18.2,7.4,0.66,0,0.63,4.4,0.9,0.7,0.8,C
Michael Carter-Williams,Philadelphia 76ers,2.2,70,34.5,16.7,0.41,0.26,0.7,6.2,6.3,1.9,0.6,PG
Thomas Robinson,Portland Trail Blazers,3.5,70,12.5,4.8,0.48,0,0.56,4.4,0.5,0.3,0.3,PF
Trey Burke,Utah Jazz,2.4,70,32.3,12.8,0.38,0.33,0.9,3,5.7,0.6,0.1,PG
Tyler Zeller,Cleveland Cavaliers,1.6,70,15,5.7,0.54,0,0.72,4,0.5,0.3,0.5,C
Austin Rivers,New Orleans Pelicans,2.3,69,19.4,7.7,0.41,0.36,0.64,1.9,2.3,0.7,0.1,SG
David Lee,Golden State Warriors,13.9,69,33.2,18.2,0.52,0,0.78,9.3,2.1,0.7,0.4,PF
J.J. Hickson,Denver Nuggets,5.2,69,26.9,11.8,0.51,0,0.52,9.2,1.4,0.7,0.7,PF
Jamal Crawford,Los Angeles Clippers,5.2,69,30.3,18.6,0.42,0.36,0.87,2.3,3.2,0.9,0.2,SG
Kris Humphries,Boston Celtics,12,69,19.9,8.4,0.5,0,0.81,5.9,1,0.5,0.9,PF
LaMarcus Aldridge,Portland Trail Blazers,14.9,69,36.2,23.2,0.46,0.2,0.82,11.1,2.6,0.9,1,PF
Cory Joseph,San Antonio Spurs,1.1,68,13.8,5,0.48,0.32,0.82,1.6,1.7,0.5,0.2,PG
Danny Green,San Antonio Spurs,3.8,68,24.3,9.1,0.43,0.42,0.79,3.4,1.5,1,0.9,SG
Darrell Arthur,Denver Nuggets,3.2,68,17.1,5.9,0.4,0.38,0.86,3.1,0.9,0.6,0.7,PF
Dorell Wright,Portland Trail Blazers,3,68,14.5,5,0.37,0.34,0.75,2.8,0.9,0.3,0.2,SF
Manu Ginobili,San Antonio Spurs,7.5,68,22.8,12.3,0.47,0.35,0.85,3,4.3,1,0.3,SG
Tony Parker,San Antonio Spurs,12.5,68,29.4,16.7,0.5,0.37,0.81,2.3,5.7,0.5,0.1,PG
Andrew Bogut,Golden State Warriors,14,67,26.4,7.3,0.63,0,0.34,10,1.7,0.7,1.8,C
