Year,acadpr01,birthyr,carede01,cocurr01,commute,enrlment,enter,envadm,envcompt,envdivrs,envevent,envnacad,envschol,envsocal,envsuprt,envstu,envfac,fathredu,mothredu,gnanaly,gncitizn,gncmpts,gncommun,gndivers,gnethics,gngenled,gninq,gnothers,gnprobsv,gnquant,gnself,gnspeak,gnwork,gnwrite,internat,livenow,race05,sex,social01/social05
2003,3,78,1,2,3,2,1,5,3,2,3,3,3,2,3,4,6,3,5,3,2,3,3,2,3,3,2,2,2,2,3,4,2,4,1,3,4,1,3
2003,5,60,4,1,3,1,2,6,2,1,1,2,3,1,2,6,6,6,3,3,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,3,4,1,2
2003,8,79,2,5,2,2,1,7,4,4,4,4,4,4,4,7,7,6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3
2003,7,80,4,4,2,2,1,7,4,2,3,1,4,2,3,6,7,6,3,4,2,4,2,3,3,4,3,3,2,4,3,2,4,3,1,3,4,1,2
2003,6,81,1,1,2,2,1,5,3,2,2,1,4,1,3,6,5,5,4,3,2,3,2,2,1,3,3,3,3,3,2,3,3,3,1,3,4,1,3
2003,7,81,1,3,2,2,2,6,3,3,4,1,2,2,2,6,4,5,4,3,2,4,3,4,3,3,4,4,3,4,4,3,3,3,1,1,4,1,3
2003,8,80,3,1,3,1,1,6,3,2,3,2,4,2,3,7,5,5,4,4,2,3,2,2,3,3,3,3,3,3,3,2,4,3,1,3,4,1,2
2003,4,78,1,3,2,2,1,3,3,1,3,1,3,2,2,6,4,5,4,3,1,3,1,4,1,2,3,3,4,4,1,2,2,2,1,3,3,1,4
2003,3,78,1,1,3,2,1,4,2,3,4,2,3,3,4,4,4,5,4,4,2,3,3,4,4,3,3,4,3,3,4,4,3,3,1,2,4,1,2
2003,4,76,1,2,2,2,1,2,4,2,3,3,3,2,3,4,5,4,5,3,4,3,3,4,4,4,3,4,4,3,4,4,3,3,1,3,4,1,7
2003,2,81,1,2,2,2,1,5,4,2,3,2,2,2,2,5,6,4,5,3,1,3,2,2,2,3,2,2,2,2,2,3,1,3,1,1,4,2,2
2003,7,80,1,4,2,2,1,4,4,2,3,1,3,2,1,4,1,3,6,2,2,4,2,2,3,2,4,3,2,3,2,2,3,3,1,3,3,1,3
2003,5,77,1,2,2,1,2,1,2,2,2,2,2,2,2,6,3,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,1,5
2003,2,80,5,2,3,2,1,1,4,1,2,1,3,1,1,7,1,3,6,3,2,4,2,2,4,2,3,4,3,4,4,4,2,3,1,3,4,1,4
